"---------------------------
Quit
---------------------------
Are you sure?
---------------------------
Yes   No   
---------------------------","-----------------------------------
வெளியேறு
-----------------------------------
நீங்கள் உறுதியாக இருக்கிறீர்களா?
-----------------------------------
ஆம் இல்லை   
-----------------------------------"
translate and exits without confirmation or extra saves.,உறுதிப்படுத்தல் அல்லது கூடுதல் சேமிப்புகள் இல்லாமல் மொழிபெயர்க்கவும் வெளியேறவும்.
minimum,குறைந்தபட்சம்
edition,பதிப்பு
adjustments,சரிசெய்தல்
narrow,குறுகிய
Resizable,மறுபரிசீலனை செய்யக்கூடியது
tweaking,முறுக்கு
background,பின்னணி
"---------------------------
Quit
---------------------------
Are you sure?
---------------------------
Yes   No   
---------------------------","-----------------------------------
வெளியேறு
-----------------------------------
நீங்கள் உறுதியாக இருக்கிறீர்களா?
-----------------------------------
ஆம் இல்லை   
-----------------------------------"
